utc_timestamp,BE_windspeed_10m,BE_temperature,BE_radiation_direct_horizontal,BE_radiation_diffuse_horizontal
2016-01-01T00:00:00Z,5.85,4.932,0,0
2016-01-01T01:00:00Z,5.21,4.816,0,0
2016-01-01T02:00:00Z,4.52,4.651,0,0
2016-01-01T03:00:00Z,3.83,4.518,0,0
2016-01-01T04:00:00Z,3.17,4.447,0,0
2016-01-01T05:00:00Z,2.41,4.339,0,0
2016-01-01T06:00:00Z,2,4.115,0,0
2016-01-01T07:00:00Z,2.08,3.805,0.005290706,0.341409294
2016-01-01T08:00:00Z,2.37,3.897,0.538604668,19.97049533
2016-01-01T09:00:00Z,2.64,4.47,1.624718458,48.78478154
2016-01-01T10:00:00Z,2.99,5.156,3.273254927,76.41864507
2016-01-01T11:00:00Z,3.63,5.977,5.034188995,94.39351101
2016-01-01T12:00:00Z,4.19,6.629,5.454043314,94.85345669
2016-01-01T13:00:00Z,4.3,6.88,2.231403716,61.24429628
2016-01-01T14:00:00Z,4.28,6.668,0.684274521,28.61052548
2016-01-01T15:00:00Z,4.4,6.068,0.057609182,3.545690818
2016-01-01T16:00:00Z,4.77,5.711,0,0
2016-01-01T17:00:00Z,4.91,5.39,0,0
2016-01-01T18:00:00Z,5.17,5.113,0,0
2016-01-01T19:00:00Z,5.57,4.874,0,0
2016-01-01T20:00:00Z,5.98,4.674,0,0
2016-01-01T21:00:00Z,6.28,4.573,0,0
2016-01-01T22:00:00Z,6.59,4.515,0,0
2016-01-01T23:00:00Z,6.76,4.493,0,0
2016-01-02T00:00:00Z,6.74,4.464,0,0
2016-01-02T01:00:00Z,6.78,4.467,0,0
2016-01-02T02:00:00Z,6.81,4.47,0,0
2016-01-02T03:00:00Z,6.85,4.433,0,0
2016-01-02T04:00:00Z,6.77,4.483,0,0
2016-01-02T05:00:00Z,6.55,4.579,0,0
2016-01-02T06:00:00Z,6.53,4.879,0,0
2016-01-02T07:00:00Z,6.54,5.303,0.001591504,0.144108496
2016-01-02T08:00:00Z,6.45,5.627,0.153648701,9.713851299
2016-01-02T09:00:00Z,6.24,6.036,1.505854411,43.83484559
2016-01-02T10:00:00Z,6.39,6.85,11.58931354,102.0626865
2016-01-02T11:00:00Z,6.62,7.932,41.02573576,133.4339642
2016-01-02T12:00:00Z,6.77,8.754,55.08782897,127.417071
2016-01-02T13:00:00Z,6.66,8.997,33.71158013,103.3481199
2016-01-02T14:00:00Z,6.72,8.563,10.73363897,59.25716103
2016-01-02T15:00:00Z,6.8,7.652,0.627418416,8.235081584
2016-01-02T16:00:00Z,7.2,7.212,0,0
2016-01-02T17:00:00Z,7.57,7.069,0,0
2016-01-02T18:00:00Z,7.82,6.889,0,0
2016-01-02T19:00:00Z,8.23,6.977,0,0
2016-01-02T20:00:00Z,8.28,7.083,0,0
2016-01-02T21:00:00Z,8.25,7.102,0,0
2016-01-02T22:00:00Z,8.28,7.006,0,0
2016-01-02T23:00:00Z,8.25,6.901,0,0
2016-01-03T00:00:00Z,8.26,6.907,0,0
2016-01-03T01:00:00Z,8.22,6.902,0,0
2016-01-03T02:00:00Z,8.13,6.771,0,0
2016-01-03T03:00:00Z,7.89,6.473,0,0
2016-01-03T04:00:00Z,7.48,6.047,0,0
2016-01-03T05:00:00Z,6.88,5.43,0,0
2016-01-03T06:00:00Z,6.73,4.794,0,0
2016-01-03T07:00:00Z,6.48,4.177,0.009980371,0.522019629
2016-01-03T08:00:00Z,6.58,3.949,0.867316152,24.75368385
2016-01-03T09:00:00Z,6.83,4.142,1.905367496,52.6112325
2016-01-03T10:00:00Z,7.08,4.569,3.28758421,78.02311579
2016-01-03T11:00:00Z,6.96,5.058,4.167848266,91.58725173
2016-01-03T12:00:00Z,6.83,5.262,2.209859296,71.2107407
2016-01-03T13:00:00Z,7.19,5.304,0.926784672,44.42681533
2016-01-03T14:00:00Z,7.77,5.231,0.283136485,19.42766351
2016-01-03T15:00:00Z,8.29,5.131,0.025154152,2.326945848
2016-01-03T16:00:00Z,8.76,5.018,0,0
2016-01-03T17:00:00Z,9.3,4.849,0,0
2016-01-03T18:00:00Z,9.45,4.578,0,0
2016-01-03T19:00:00Z,9.55,4.22,0,0
2016-01-03T20:00:00Z,9.39,3.845,0,0
2016-01-03T21:00:00Z,8.88,3.434,0,0
2016-01-03T22:00:00Z,7.93,3.13,0,0
2016-01-03T23:00:00Z,6.83,3.028,0,0
2016-01-04T00:00:00Z,5.65,3.288,0,0
2016-01-04T01:00:00Z,4.88,3.737,0,0
2016-01-04T02:00:00Z,4.68,4.214,0,0
2016-01-04T03:00:00Z,4.9,4.693,0,0
2016-01-04T04:00:00Z,5.28,5.101,0,0
2016-01-04T05:00:00Z,5.49,5.294,0,0
2016-01-04T06:00:00Z,5.54,5.212,0,0
2016-01-04T07:00:00Z,5.67,5,0.002453105,0.251746895
2016-01-04T08:00:00Z,5.71,4.877,0.180383739,12.87201626
2016-01-04T09:00:00Z,5.94,4.878,0.521966603,32.0490334
2016-01-04T10:00:00Z,6.1,5.057,0.681886093,42.51371391
2016-01-04T11:00:00Z,6.25,5.432,0.78569836,47.99450164
2016-01-04T12:00:00Z,6.13,5.819,1.140825555,56.13377445
2016-01-04T13:00:00Z,5.93,6.155,1.498479037,55.93292096
2016-01-04T14:00:00Z,5.61,6.228,1.083431715,36.49406829
2016-01-04T15:00:00Z,5.53,5.888,0.137008678,5.868291322
2016-01-04T16:00:00Z,5.84,5.587,0,0
2016-01-04T17:00:00Z,5.97,5.339,0,0
2016-01-04T18:00:00Z,6.21,5.216,0,0
2016-01-04T19:00:00Z,6.34,5.184,0,0
2016-01-04T20:00:00Z,6.53,5.299,0,0
2016-01-04T21:00:00Z,6.54,5.373,0,0
2016-01-04T22:00:00Z,6.47,5.307,0,0
2016-01-04T23:00:00Z,6.01,5.036,0,0
2016-01-05T00:00:00Z,5.73,4.761,0,0
2016-01-05T01:00:00Z,5.65,4.645,0,0
2016-01-05T02:00:00Z,5.44,4.543,0,0
2016-01-05T03:00:00Z,5.55,4.538,0,0
2016-01-05T04:00:00Z,5.69,4.596,0,0
2016-01-05T05:00:00Z,5.74,4.699,0,0
2016-01-05T06:00:00Z,5.58,4.77,0,0
2016-01-05T07:00:00Z,5.66,4.827,0.006124394,0.436275606
2016-01-05T08:00:00Z,5.92,5.066,0.477774602,19.7289254
2016-01-05T09:00:00Z,6.37,5.613,1.952873484,53.34212652
2016-01-05T10:00:00Z,6.59,6.217,5.296104298,91.1585957
2016-01-05T11:00:00Z,6.96,6.591,5.710391882,99.98130812
2016-01-05T12:00:00Z,6.91,6.593,3.832510799,86.2748892
2016-01-05T13:00:00Z,6.5,6.352,1.696526629,56.83787337
2016-01-05T14:00:00Z,6.05,6.091,0.518289768,26.15861023
2016-01-05T15:00:00Z,5.59,5.835,0.043696052,3.271603948
2016-01-05T16:00:00Z,5.56,5.812,0,0
2016-01-05T17:00:00Z,5.42,5.928,0,0
2016-01-05T18:00:00Z,5.25,5.96,0,0
2016-01-05T19:00:00Z,4.98,5.811,0,0
2016-01-05T20:00:00Z,4.75,5.537,0,0
2016-01-05T21:00:00Z,4.65,5.245,0,0
2016-01-05T22:00:00Z,4.6,5.126,0,0
2016-01-05T23:00:00Z,4.57,5.19,0,0
2016-01-06T00:00:00Z,4.47,5.246,0,0
2016-01-06T01:00:00Z,4.22,5.268,0,0
2016-01-06T02:00:00Z,3.95,5.294,0,0
2016-01-06T03:00:00Z,3.76,5.289,0,0
2016-01-06T04:00:00Z,3.66,5.233,0,0
2016-01-06T05:00:00Z,3.52,5.159,0,0
2016-01-06T06:00:00Z,3.42,5.105,0,0
2016-01-06T07:00:00Z,3.4,5.028,0.009903975,0.585096025
2016-01-06T08:00:00Z,3.81,5.372,0.51490118,20.03409882
2016-01-06T09:00:00Z,4.07,5.92,2.044220515,53.75257949
2016-01-06T10:00:00Z,3.98,6.543,4.354319914,84.16128009
2016-01-06T11:00:00Z,3.93,7.168,7.15471351,104.8782865
2016-01-06T12:00:00Z,3.82,7.591,8.510473403,107.1543266
2016-01-06T13:00:00Z,3.43,7.667,4.955200325,79.93909967
2016-01-06T14:00:00Z,2.73,7.236,1.399193712,38.35220629
2016-01-06T15:00:00Z,2.68,6.421,0.108549408,5.130350592
2016-01-06T16:00:00Z,3.03,6.118,0,0
2016-01-06T17:00:00Z,3.32,6.006,0,0
2016-01-06T18:00:00Z,3.53,5.815,0,0
2016-01-06T19:00:00Z,3.79,5.688,0,0
2016-01-06T20:00:00Z,4.13,5.601,0,0
2016-01-06T21:00:00Z,4.33,5.481,0,0
2016-01-06T22:00:00Z,4.56,5.415,0,0
2016-01-06T23:00:00Z,4.77,5.378,0,0
2016-01-07T00:00:00Z,4.97,5.282,0,0
2016-01-07T01:00:00Z,5.22,5.267,0,0
2016-01-07T02:00:00Z,5.55,5.23,0,0
2016-01-07T03:00:00Z,5.77,5.102,0,0
2016-01-07T04:00:00Z,6.2,5.006,0,0
2016-01-07T05:00:00Z,6.8,5.04,0,0
2016-01-07T06:00:00Z,7.1,5.041,0,0
2016-01-07T07:00:00Z,7.61,4.98,0.002311998,0.258188002
2016-01-07T08:00:00Z,8.42,4.896,0.109047348,9.474852652
2016-01-07T09:00:00Z,9.21,4.86,0.684297074,36.01240293
2016-01-07T10:00:00Z,9.89,4.851,2.216132697,71.0786673
2016-01-07T11:00:00Z,9.87,4.715,1.804167933,68.91603207
2016-01-07T12:00:00Z,9.11,5.237,1.358778316,59.06162168
2016-01-07T13:00:00Z,8.83,6.575,2.406424686,66.28777531
2016-01-07T14:00:00Z,9.79,7.572,2.305402405,47.7424976
2016-01-07T15:00:00Z,10.35,7.502,0.226224142,7.441075858
2016-01-07T16:00:00Z,10.39,7.005,0,0
2016-01-07T17:00:00Z,10.18,6.452,0,0
2016-01-07T18:00:00Z,9.98,5.875,0,0
2016-01-07T19:00:00Z,9.68,5.244,0,0
2016-01-07T20:00:00Z,9.22,4.669,0,0
2016-01-07T21:00:00Z,8.63,4.154,0,0
2016-01-07T22:00:00Z,7.85,3.524,0,0
2016-01-07T23:00:00Z,7.68,2.993,0,0
2016-01-08T00:00:00Z,7.67,2.594,0,0
2016-01-08T01:00:00Z,7.63,2.339,0,0
2016-01-08T02:00:00Z,7.38,2.232,0,0
2016-01-08T03:00:00Z,6.94,2.169,0,0
2016-01-08T04:00:00Z,6.31,2.022,0,0
2016-01-08T05:00:00Z,5.88,1.927,0,0
2016-01-08T06:00:00Z,5.72,1.746,0,0
2016-01-08T07:00:00Z,5.92,1.643,0.01861065,0.75838935
2016-01-08T08:00:00Z,6.08,1.79,0.799745476,21.38305452
2016-01-08T09:00:00Z,5.9,2.098,3.965989869,60.42501013
2016-01-08T10:00:00Z,6.26,2.969,12.15329544,97.64470456
2016-01-08T11:00:00Z,6.27,4.264,107.3702221,119.7786779
2016-01-08T12:00:00Z,5.94,5.344,160.0436172,88.68328283
2016-01-08T13:00:00Z,5.48,5.777,117.1441819,78.19281814
2016-01-08T14:00:00Z,4.25,5.127,45.13689564,59.91160436
2016-01-08T15:00:00Z,3.87,2.968,3.146357482,12.87344252
2016-01-08T16:00:00Z,4.78,2.347,0,0
2016-01-08T17:00:00Z,5.45,2.335,0,0
2016-01-08T18:00:00Z,5.39,2.113,0,0
2016-01-08T19:00:00Z,5.36,2.131,0,0
2016-01-08T20:00:00Z,5.4,2.219,0,0
2016-01-08T21:00:00Z,5.22,2.308,0,0
2016-01-08T22:00:00Z,5.13,2.327,0,0
2016-01-08T23:00:00Z,5.25,2.425,0,0
2016-01-09T00:00:00Z,5.29,2.45,0,0
2016-01-09T01:00:00Z,5.45,2.481,0,0
2016-01-09T02:00:00Z,5.49,2.451,0,0
2016-01-09T03:00:00Z,5.53,2.397,0,0
2016-01-09T04:00:00Z,5.61,2.288,0,0
2016-01-09T05:00:00Z,5.74,2.162,0,0
2016-01-09T06:00:00Z,5.92,2.099,0,0
2016-01-09T07:00:00Z,6.24,2.104,0.016568654,0.902931346
